"","Top","Age","IIa_5Me","IIa_6Me","IIb_5Me","IIb_6Me","IIc_5Me","IIc_6Me","IIIa_5Me","IIIa_6Me","IIIb_5Me","IIIb_6Me","IIIc_5Me","IIIc_6Me","C46","GDGT0","GDGT1","H.GDGT0","OH.GDGT0","GDGT2","H.GDGT1","OH.GDGT1","X2OH.GDGT1","GDGT3","H.GDGT2","OH.GDGT2","GDGT4","Crenarch","Crenarch.p","IIIa_7Me","IIIa_8Me","IIIb_7Me","IIIb_8Me","IIIc_7Me","IIa_7Me","IIa_8Me","IIb_7Me","IIb_8Me","H.1034","H.1034p","H.1034pp","IIc_7Me","H.1032","H.1020","H.1020p","OH.Ia","H.1048","H.1048p","H.1048pp","OH.IIIa","H.1046","OH.IIIb","OH.IIa","OH.IIb","OH.Ib","All_isoGDGT","All_brGDGT","All_H.brGDGT","All_H.isoGDGT","All_OH.isoGDGT","All_OH.brGDGT","All_GDGT","Ic","Ib","Ia","IIc","IIb","IIa","IIIc","IIIb","IIIa","I","II","III","f.IIIa_5Me","f.IIIa_6Me","f.IIIa_7Me","f.IIIb_5Me","f.IIIb_6Me","f.IIIb_7Me","f.IIIc_5Me","f.IIIc_6Me","f.IIIc_7Me","f.IIa_5Me","f.IIa_6Me","f.IIa_7Me","f.IIb_5Me","f.IIb_6Me","f.IIb_7Me","f.IIc_5Me","f.IIc_6Me","f.IIc_7Me","f.Ia","f.Ib","f.Ic","f.HbrGDGT","f.HisoGDGT","BIT","GDGT0.Crenar","IIIa.IIa","Ib.Ia","TEX86","MI","MBT","MBTp","MBTp5Me","MBTp6Me","MBTm","CBT","CBTp","CBT5Me","CBT6Me","Rib","Index1","Index2","IBT","DC","IR6Me","IR.IIap","IR.IIIap","IR","CI","IR7Me","IR6_7Me","IRp6_7Me","pCren","pCren.p","MAAT_MBTp_DJ","MAAT_DJ_5Me","MAAT_soil_Naaf","MAAT_soil5Me_Naaf","MAAT_bog5Me_Naaf","MAAT_Ding","MAAT_Wang","MCQT_Ding","MAAT_Chen_Tjk","MAAT_mr_DJ","MAAT_mrs_DJ","MAAT_mr_Yang","MAAT_mr_Tibet","MAAT_LSun","MAF_MSosa","TsumL_mr_Pears1","TsumL_mr_Pears2","TgrowL_mr_Dang","LST_TEX86","MAF_meth_Raberg","MAF_full_Raberg","DeltaMBT"
"NRX2018_1",3,-28,12.81000001,4.78000001,0.27000001,0.50000001,0.04000001,0.02000001,5.87000001,1.19000001,0.03000001,0.03000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.73000015,0,0,0,0,34.73000015,0.04000001,0.50000001,8.65000001,0.06000002,0.77000002,17.59000002,2e-08,0.06000002,7.06000002,9.19000003,18.42000006,7.12000006,0.169018139494595,0.0342643249311935,0,0.000863806791547048,0.000863806791547048,0,2.87935501203849e-10,2.87935501203849e-10,0,0.368845377330066,0.137633169863375,0,0.00777425882043942,0.014396775348128,0,0.0011517422927509,0.000575871290343199,0,0.249064208829265,0.014396775348128,0.0011517422927509,0,NA,1,NA,0.401364412278153,0.057803469297337,NA,NA,0.264612726470144,0.265070666306381,0.326117814307018,0.586096938072271,0.250743731722612,1.31516009998527,0.619735788159483,1.44513898158182,1.12807600462958,0,-0.11924369838282,0.147250647434832,0.495402539774766,0.0346378775804986,0.255285827304843,0.271745310094661,0.168555241732138,0.242190669789549,0.316502012459017,0,0.127642913652422,0.127642913652422,NA,NA,1.57023288858135,1.6864052599557,-2.20202624957623,-1.75205463873868,-6.03317244945983,-0.195112867020792,-9.01470338631731,-5.65647198015923,7.36146203469474,1.29251659572768,3.11751224764679,13.0755542990114,17.8544975715729,9.05524959889646,10.7955938102339,19.4679240735621,14.4213072740514,-4.99561188580934,NA,9.48378482862564,7.29080485241927,-0.259979123765254
"NRX2018_2",7,23,24.82000001,7.61000001,1.08000001,1.03000001,0.17000001,0.10000001,13.93000001,2.77000001,0.14000001,0.12000001,0.05000001,0.02000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.12000015,0,0,0,0,64.12000015,0.21000001,1.12000001,10.95000001,0.27000002,2.11000002,32.43000002,0.07000002,0.26000002,16.70000002,12.28000003,34.81000006,17.03000006,0.217248907944677,0.0432002495870237,0,0.00218340626438692,0.00187149110603987,0,0.0007797880518252,0.000311915314304627,0,0.387086711664644,0.118683717907009,0,0.0168434187066982,0.0160636308108306,0,0.00265127900190749,0.00155957594769282,0,0.170773549350966,0.0174672490233923,0.00327510931860158,0,NA,1,NA,0.514955288612423,0.102283105842664,NA,NA,0.19151590769296,0.192506662624616,0.234889059172872,0.516183270023841,0.341805858127269,1.12808702161372,0.622271697403948,1.21109625562146,0.936139508395279,0,-0.266954116998884,0.0892276673243103,0.572074352717251,0.057940479791477,0.224729938908804,0.234659266275264,0.165868263873212,0.211276206219193,0.220321931657753,0,0.112364969454402,0.112364969454402,NA,NA,0.381453128813317,-1.18273908901317,-5.85208874249338,-5.31818667693242,-10.7934888923595,-1.47542743574425,-13.0959422526792,-7.51646247029178,5.60986993611915,-0.415386749441549,1.37293669093043,11.8772302087401,17.0357205362374,6.61542490628744,7.75463530576241,17.8470992407663,13.5148939763532,-6.56531504302406,NA,7.03161344142329,4.90418490901446,-0.281294210850968
"NRX2018_3",11,77,20.79000001,6.98000001,1.23000001,1.18000001,0.16000001,0.08000001,13.12000001,3.45000001,0.04000001,0.10000001,0.02000001,0.04000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.87000015,0,0,0,0,58.87000015,0.27000001,1.39000001,10.02000001,0.24000002,2.41000002,27.77000002,0.06000002,0.14000002,16.57000002,11.68000003,30.42000006,16.77000006,0.222863937091395,0.0586037030951154,0,0.00067946339218754,0.00169865822567014,0,0.000339731781026673,0.00067946339218754,0,0.353151009971587,0.118566332465009,0,0.0208934942562591,0.020044165228357,0,0.00271785305915274,0.00135892661450927,0,0.17020553736146,0.0236113471455461,0.00458637692053751,0,NA,1,NA,0.596687072670733,0.138722555749778,NA,NA,0.198403261427544,0.199079597888209,0.248616432792611,0.499786050278775,0.352689322939737,0.997593292216333,0.559975830733005,1.07039040396389,0.820515795178191,0,-0.232788148930794,0.0832117162102889,0.512043480774921,0.0783727196190575,0.250688705868136,0.251350378284947,0.208207604455996,0.235227785534301,0.228090143481841,0,0.125344352934068,0.125344352934068,NA,NA,1.32511356766788,-0.751013188672393,-5.30285652396764,-4.78158364213685,-10.0771945368816,-0.855628141053044,-12.1519365549578,-7.0301573964574,5.87343550961813,0.749701060829707,1.99973671697706,12.2333276869543,16.8759521115595,7.86984046293808,8.21221442642036,18.81758116481,14.4097503249454,-6.38734670605398,NA,8.03754533891524,5.79546768237827,-0.251169617486165
"NRX2018_4",15,137,12.78000001,2.97000001,0.48000001,0.37000001,0.09000001,0.04000001,6.74000001,1.03000001,0.06000001,0.04000001,0.01000001,0.02000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.10000015,0,0,0,0,32.10000015,0.11000001,0.48000001,6.88000001,0.13000002,0.85000002,15.75000002,0.03000002,0.10000002,7.77000002,7.47000003,16.73000006,7.90000006,0.209968846682389,0.0320872275759164,0,0.00186915918129676,0.00124610622470667,0,0.000311526789821526,0.000623053268116574,0,0.398130839572597,0.0925233643651556,0,0.0149532712696888,0.0115264800084432,0,0.00280373861618191,0.00124610622470667,0,0.214330217378519,0.0149532712696888,0.003426791572772,0,NA,1,NA,0.49333333397672,0.0697674432125473,NA,NA,0.23271028022098,0.233656553152886,0.271044993143209,0.628787877608152,0.310675182574783,1.23083290376726,0.76073844272179,1.31131227185055,1.06401729544644,0,-0.257454682300161,0.116455840556842,0.688419820276212,0.0465567419077464,0.181485994243674,0.188571428966893,0.132561133506921,0.170068027771993,0.260606060688705,0,0.0907429971218368,0.0907429971218368,NA,NA,1.07453058337912,-0.0456349656460642,-4.40548982434019,-3.90485121803194,-8.90687225778733,-0.744860160719248,-12.8334728719534,-6.46261826150064,6.30406386834962,-0.0463239386153091,1.94573833447163,11.8593769777911,17.1548349148185,7.42239389221118,8.95983310477365,16.9165110111378,13.2849844796963,-5.88832089284274,NA,8.07047489253963,5.52577793502651,-0.357742884464943
"NRX2018_5",19,204,11.11000001,2.24000001,0.51000001,0.36000001,0.09000001,0.04000001,6.54000001,1.10000001,0.06000001,0.03000001,0.01000001,0.03000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.51000015,0,0,0,0,28.51000015,0.12000001,0.50000001,5.77000001,0.13000002,0.87000002,13.35000002,0.04000002,0.09000002,7.64000002,6.39000003,14.35000006,7.77000006,0.229393194513891,0.038582953497459,0,0.00210452506784711,0.00105226270930062,0,0.000350754470269619,0.00105226270930062,0,0.389687827132474,0.078568923122226,0,0.0178884604460446,0.0126271486533121,0,0.00315678742639361,0.00140301682881612,0,0.202385127311197,0.0175377063265291,0.00420904978494011,0,NA,1,NA,0.572284644835529,0.0866551142345665,NA,NA,0.224131883422666,0.22515856255224,0.259334416065203,0.630799603735837,0.343020238667783,1.144767311955,0.776300816516941,1.22305106042167,0.969134055825179,0,-0.289725491647258,0.104851147339795,0.72299824080383,0.0564561217295559,0.171790236861897,0.167790262669977,0.143979058523615,0.15912339274107,0.2463706235102,0,0.0858951184309487,0.0858951184309487,NA,NA,1.29908478033457,-0.413932614749381,-4.87403001323125,-4.36261767601123,-9.51793016971773,-0.679058408619855,-13.7251153342137,-6.54626670801893,6.07922078845189,0.0847317274917643,1.89027711486701,11.6159944238373,16.8135707056073,7.45626246533526,8.56948053550675,16.4401965460881,13.2416345775081,-6.19249739090233,NA,7.77098372620103,5.43435985296167,-0.371465187670634
"NRX2018_6",23,273,12.85000001,3.64000001,0.72000001,0.54000001,0.14000001,0.08000001,7.24000001,1.69000001,0.07000001,0.06000001,0.02000001,0.06000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07000015,0,0,0,0,35.07000015,0.23000001,0.74000001,6.99000001,0.22000002,1.26000002,16.49000002,0.08000002,0.13000002,8.93000002,7.96000003,17.97000006,9.14000006,0.206444253750595,0.0481893356935158,0,0.00199600826063869,0.00171086426413945,0,0.00057028827814248,0.00171086426413945,0,0.366410035786669,0.103792415010868,0,0.0205303680330894,0.015397776096103,0,0.00399201623613338,0.00228115225713793,0,0.199315653838114,0.0211006560260879,0.00655831220462655,0,NA,1,NA,0.54154032802724,0.105865523453697,NA,NA,0.226974622068828,0.22834193932537,0.275337253916513,0.572250179003774,0.312579957435727,1.06966809095207,0.633308106215155,1.13318880652228,0.919323288906688,0,-0.221848748962791,0.105205112379752,0.576252726524403,0.068544601749212,0.223902620181914,0.220739842667386,0.189249720740762,0.20967741981168,0.258124076892772,0,0.111951310090957,0.111951310090957,NA,NA,1.82358204338823,0.0893566356743367,-4.23375647080031,-3.7370667444035,-8.68290209063635,-0.351664845629303,-11.8496809338419,-6.30094513883806,6.38647527519705,0.871083588047831,2.27222698852483,12.3163102628615,17.2233504635129,8.48780885121679,9.10290846388377,18.5957229314412,14.340946724832,-5.40457943349909,NA,8.4419064019747,5.97667220217744,-0.29691292508726
"NRX2018_7",27,341,12.23000001,5.00000001,1.00000001,0.80000001,0.26000001,0.12000001,7.48000001,1.77000001,0.09000001,0.06000001,0.02000001,0.06000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.41000015,0,0,0,0,38.41000015,0.99000001,0.99000001,7.54000001,0.38000002,1.80000002,17.23000002,0.08000002,0.15000002,9.25000002,9.52000003,19.41000006,9.48000006,0.194740952376695,0.0460817496247784,0,0.0023431400585402,0.00156209345914309,0,0.000520697993280273,0.00156209345914309,0,0.318406663947904,0.130174433493201,0,0.0260348869069192,0.0208279095776051,0,0.00676907078845716,0.00312418665793731,0,0.196303045575489,0.0257745380404535,0.0257745380404535,0,NA,1,NA,0.536854324391347,0.131299735900133,NA,NA,0.247852121656396,0.249345206981981,0.312233519453711,0.553166763002808,0.304941743774819,0.948321799168399,0.490883831486,0.997153588978544,0.845444501355007,0,-0.144678351038785,0.118214831609317,0.464097954751986,0.0914522066333599,0.270335757271018,0.290191526650967,0.1913513520187,0.255664652937062,0.276697247768774,0,0.135167878635509,0.135167878635509,NA,NA,3.16271681515658,1.24974418681921,-2.75753688665702,-2.29479172455443,-6.75765495490536,0.603009996900693,-9.71746283920163,-5.40267338880351,7.09488357351125,2.97455613427015,3.11929446395485,13.1168706274009,17.4479745046005,10.5764156561358,10.3327839817904,21.0657381628518,15.6154126906714,-4.8954256914654,NA,9.46037086423244,6.89002861516713,-0.240933243549097
"NRX2018_8",31,408,15.55000001,4.43000001,1.04000001,0.55000001,0.35000001,0.08000001,8.47000001,1.42000001,0.07000001,0.04000001,0.03000001,0.04000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.86000015,0,0,0,0,41.86000015,0.45000001,1.02000001,8.32000001,0.43000002,1.59000002,19.98000002,0.07000002,0.11000002,9.89000002,9.79000003,22.00000006,10.07000006,0.202341136637574,0.0339225992573247,0,0.00167224103557486,0.000955566408424869,0,0.000716674866041538,0.000955566408424869,0,0.371476348644972,0.105828953514708,0,0.024844720646758,0.0131390350699748,0,0.00836120422230815,0.0019111325779582,0,0.198757763501824,0.0243669375619914,0.0107501196461415,0,NA,1,NA,0.494994995500506,0.122596154900726,NA,NA,0.233874820709956,0.234884836952079,0.278125000299183,0.601720958074956,0.303362831953888,1.0351459236545,0.664021993669845,1.06398519478503,0.909610527509573,0,-0.224727081418927,0.112996833178998,0.61341713586155,0.0794446593452454,0.204552542421381,0.221721722000279,0.143579373824915,0.195848678010246,0.257266543051392,0,0.102276271210691,0.102276271210691,NA,NA,2.22215255839344,0.177031259409313,-4.12221873802968,-3.62809373830493,-8.53743748438862,-0.0549539493574076,-11.9292092596049,-6.01578446539359,6.44000000574432,0.945441983317812,2.16714048025153,12.2800764673671,17.2847826265213,8.78741948543306,9.19583334330611,18.6389393979732,14.6846870900214,-5.46081702638264,NA,8.28407725172043,6.2743537821279,-0.323595957775773
"NRX2018_9",35,478,22.99000001,6.46000001,1.26000001,0.70000001,0.44000001,0.08000001,12.06000001,1.92000001,0.08000001,0.04000001,0.03000001,0.03000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.09000015,0,0,0,0,59.09000015,0.50000001,1.26000001,11.24000001,0.52000002,1.96000002,29.45000002,0.06000002,0.12000002,13.98000002,13.00000003,31.93000006,14.16000006,0.204095447273408,0.0324928076684055,0,0.00135386714836554,0.000676933658799458,0,0.000507700286407936,0.000507700286407936,0,0.389067523297341,0.109324758734156,0,0.0213234050905651,0.0118463362366399,0,0.00744626855446031,0.00135386714836554,0,0.190218310737303,0.0213234050905651,0.00846166878880944,0,NA,1,NA,0.474702886604616,0.112099644918061,NA,NA,0.220003384616678,0.220675606955113,0.261306532898664,0.586642598778656,0.306394763404443,1.10163181443143,0.677374337671499,1.1330063551633,0.955717191064483,0,-0.248746083110816,0.105263653865834,0.621444002883713,0.0685714290410107,0.200260360945297,0.219354838900268,0.13733905631282,0.19295417942164,0.242817023173806,0,0.100130180472649,0.100130180472649,NA,NA,1.40469142778228,-0.35190954033701,-4.79512561872444,-4.28552762899121,-9.4150251133477,-0.64161074075396,-12.5928542763518,-6.58292249641999,6.11708543165435,0.138759545484618,1.68401253301402,12.0417160426425,17.2407564859162,7.77287980354167,8.63521776328881,18.0709257621317,14.1390590907115,-5.67554917400859,NA,7.74433422322929,5.67775936308557,-0.325336065879992
"NRX2018_10",39,550,12.81000001,3.38000001,0.57000001,0.44000001,0.12000001,0.03000001,6.92000001,1.45000001,0.04000001,0.03000001,0.01000001,0.02000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.72000015,0,0,0,0,32.72000015,0.17000001,0.78000001,5.95000001,0.15000002,1.01000002,16.19000002,0.03000002,0.07000002,8.37000002,6.90000003,17.35000006,8.47000006,0.211491441878859,0.0443154035254489,0,0.00122249418754969,0.000916870717068135,0,0.000305623776105025,0.00061124724658658,0,0.391503665992495,0.103300733328389,0,0.0174205381230721,0.0134474330068119,0,0.00366748195140213,0.000916870717068135,0,0.181845965242149,0.0238386310031848,0.0051955993038099,0,NA,1,NA,0.516985794296497,0.131092438435139,NA,NA,0.210880195549143,0.211526670960517,0.252562225926817,0.565573769705724,0.318264840244574,1.09232457887261,0.667655936667613,1.14289905957705,0.883521806883134,0,-0.262534031480905,0.0922095430335651,0.611179953142596,0.0671307815671193,0.207203719408813,0.208770846561123,0.173237754663709,0.196661238279053,0.231697819433375,0,0.103601859704407,0.103601859704407,NA,NA,1.17384643756835,-0.626917994601601,-5.14498534066805,-4.62734258852072,-9.87130305113868,-0.848725519146078,-12.9738152898174,-6.84455398880788,5.94919473779489,-0.121289682711081,1.48833742680774,11.9783313254661,17.1022249625173,7.49078896970697,8.34374086422724,17.7598411775985,14.2049511509859,-5.91424818631915,NA,7.78942143469984,5.68712476955757,-0.313011543778907
