"","Top","Age","GDGT0","GDGT1","GDGT2","GDGT3","Crenarch","Crenarch.p","IIIa_5Me","IIIa_6Me","IIIb_5Me","IIIb_6Me","IIIc_5Me","IIIc_6Me","IIa_5Me","IIa_6Me","IIb_5Me","IIb_6Me","IIc_5Me","IIc_6Me","C46","H.GDGT0","OH.GDGT0","H.GDGT1","OH.GDGT1","X2OH.GDGT1","H.GDGT2","OH.GDGT2","GDGT4","IIIa_7Me","IIIa_8Me","IIIb_7Me","IIIb_8Me","IIIc_7Me","IIa_7Me","IIa_8Me","IIb_7Me","IIb_8Me","H.1034","H.1034p","H.1034pp","IIc_7Me","H.1032","H.1020","H.1020p","OH.Ia","H.1048","H.1048p","H.1048pp","OH.IIIa","H.1046","OH.IIIb","OH.IIa","OH.IIb","OH.Ib","All_isoGDGT","All_brGDGT","All_H.brGDGT","All_H.isoGDGT","All_OH.isoGDGT","All_OH.brGDGT","All_GDGT","Ic","Ib","Ia","IIc","IIb","IIa","IIIc","IIIb","IIIa","I","II","III","f.IIIa_5Me","f.IIIa_6Me","f.IIIa_7Me","f.IIIb_5Me","f.IIIb_6Me","f.IIIb_7Me","f.IIIc_5Me","f.IIIc_6Me","f.IIIc_7Me","f.IIa_5Me","f.IIa_6Me","f.IIa_7Me","f.IIb_5Me","f.IIb_6Me","f.IIb_7Me","f.IIc_5Me","f.IIc_6Me","f.IIc_7Me","f.Ia","f.Ib","f.Ic","f.HbrGDGT","f.HisoGDGT","BIT","GDGT0.Crenar","IIIa.IIa","Ib.Ia","TEX86","MI","MBT","MBTp","MBTp5Me","MBTp6Me","MBTm","CBT","CBTp","CBT5Me","CBT6Me","Rib","Index1","Index2","IBT","DC","IR6Me","IR.IIap","IR.IIIap","IR","CI","IR7Me","IR6_7Me","IRp6_7Me","pCren","pCren.p","MAAT_MBTp_DJ","MAAT_DJ_5Me","MAAT_soil_Naaf","MAAT_soil5Me_Naaf","MAAT_bog5Me_Naaf","MAAT_Ding","MAAT_Wang","MCQT_Ding","MAAT_Chen_Tjk","MAAT_mr_DJ","MAAT_mrs_DJ","MAAT_mr_Yang","MAAT_mr_Tibet","MAAT_LSun","MAF_MSosa","TsumL_mr_Pears1","TsumL_mr_Pears2","TgrowL_mr_Dang","LST_TEX86","MAF_meth_Raberg","MAF_full_Raberg","DeltaMBT"
"XRD5",5,56,0.68000001,0.03000001,0.03000001,0.02000001,0.21000001,0.03000001,0.02000001,0.44000001,1e-08,0.01000001,1e-08,1e-08,1e-08,0.36000001,0.03000001,0.03000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,0.99000015,0,0,0,0,1.99000021,1e-08,0.02000001,0.08000001,2e-08,0.06000002,0.36000002,2e-08,0.01000002,0.46000002,0.10000003,0.42000006,0.47000006,0.0202020272421171,0.444444387205396,0,1.01010085705543e-08,0.0101010186715628,0,1.01010085705543e-08,1.01010085705543e-08,0,1.01010085705543e-08,0.363636318640962,0,0.0303030358126713,0.0303030358126713,0,1.01010085705543e-08,1.01010085705543e-08,0,0.0808080786654426,0.0202020272421171,1.01010085705543e-08,0,0,0.810810812028244,3.23809513151928,1.27777776234568,0.250000093749988,0.727272735537187,0.250000054687491,0.101010116008568,0.102040835485212,0.666666555555607,0.107526905885072,0.0350877663896509,0.74036255624483,-0.924279191964762,0.204119917511774,0.944482518173068,1.01010091766148,0.291484654679302,-0.516629638200722,-1.60205956789106,0.384615420118332,0.94382016487818,0.999999972222224,0.956521719281664,0.975609732897086,0.799999860000042,0,0.47191008243909,0.47191008243909,0.2099999974,0.125000031249997,-0.224589793866604,12.3966631722238,11.4233288877798,11.5599956566687,11.7366608688916,-2.5346173820811,2.33372100878911,-9.49162959273007,13.8999978666677,9.07505070933575,7.02727249930215,20.248484574472,20.5055558212794,25.2834813103691,22.1472185185202,44.6303023236916,22.4676771927762,-3.21747581906932,26.1454550016527,16.9638663405845,22.638709031107,0.559139649670536
"XRD10",10,141,0.64000001,0.03000001,0.04000001,0.02000001,0.24000001,0.04000001,0.01000001,0.46000001,1e-08,0.01000001,1e-08,1e-08,1e-08,0.36000001,0.02000001,0.03000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01000006,0.98000015,0,0,0,0,1.99000021,1e-08,0.02000001,0.07000001,2e-08,0.05000002,0.36000002,2e-08,0.01000002,0.47000002,0.09000003,0.41000006,0.48000006,0.0102040902748841,0.469387693461067,0,1.02040800708041e-08,0.0102040902748841,0,1.02040800708041e-08,1.02040800708041e-08,0,1.02040800708041e-08,0.367346892753027,0,0.0204081703456882,0.0306122504164923,0,1.02040800708041e-08,1.02040800708041e-08,0,0.0714285706997086,0.0204081703456882,1.02040800708041e-08,0,0,0.789473686518929,2.66666659722223,1.30555553858025,0.285714387755088,0.769230763313611,0.243243291453609,0.0918367512494768,0.0927835255606311,0.749999812500109,0.0957447056360326,0.0175439095106108,0.788370259738777,-1.03140833674077,0.243037955623228,0.934498297725552,1.03061214837569,0.286943512046172,-0.59291642246183,-1.91381299438817,0.363636413223123,0.966292071960619,0.999999972222224,0.978723383884111,0.987951783713167,0.874999796875076,0,0.48314603598031,0.48314603598031,0.237623758160965,0.142857168367345,-0.783770080339302,15.0174941031284,14.7574924981294,14.8174926706293,16.0849902162557,-2.93619509765835,2.20824923783572,-9.87516887194256,15.4999964000021,8.920000230102,6.8592855097012,20.5959180373595,20.6859186081757,28.1993879723477,24.9249937500036,45.3612236640984,22.6928575378279,-3.26438883045069,28.4615381349113,20.1405674087396,23.7831990904061,0.654255106864077
"XRD20",20,441,0.69000001,0.02000001,0.03000001,0.02000001,0.21000001,0.03000001,0.02000001,0.44000001,1e-08,0.01000001,1e-08,1e-08,1e-08,0.36000001,0.04000001,0.02000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,1.00000015,0,0,0,0,2.00000021,1e-08,0.03000001,0.08000001,2e-08,0.06000002,0.36000002,2e-08,0.01000002,0.46000002,0.11000003,0.42000006,0.47000006,0.020000006999999,0.439999944000008,0,9.99999850000022e-09,0.0100000084999987,0,9.99999850000022e-09,9.99999850000022e-09,0,9.99999850000022e-09,0.359999956000007,0,0.0400000039999994,0.020000006999999,0,9.99999850000022e-09,9.99999850000022e-09,0,0.0799999980000003,0.0300000054999992,9.99999850000022e-09,0,0,0.810810812028244,3.28571417687075,1.27777776234568,0.37500007812499,0.799999980000008,0.225806511966692,0.110000013499998,0.11111112906846,0.647058733564051,0.118279593247773,0.0338983507612685,0.689210051893046,-0.919077998714993,0.0579919314671737,0.944482518173068,0.999999910000013,0.296283537295934,-0.548814307254729,-1.60205956789106,0.466666675555553,0.93258421133696,0.999999972222224,0.956521719281664,0.975609732897086,0.799999860000042,0,0.46629210566848,0.46629210566848,0.2099999974,0.125000031249997,0.346624006888703,11.7799971705894,10.6388199298977,10.7935258950187,10.7135247173722,-2.12723752198962,2.46631413548665,-9.10714069290546,13.5235276844298,9.31500016624997,7.01279977648003,20.1919997372,20.50920026252,24.8203035654453,21.493624452135,44.6579992963001,23.43300027605,-2.92690110446483,30.1599988960004,17.1654898960117,23.2878475996873,0.528779140316278
"XRD25",25,672,0.59000001,0.03000001,0.04000001,0.03000001,0.27000001,0.04000001,0.01000001,0.48000001,1e-08,0.01000001,1e-08,1e-08,1e-08,0.38000001,1e-08,0.03000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,0.99000015,0,0,0,0,1.99000021,1e-08,0.01000001,0.07000001,2e-08,0.03000002,0.38000002,2e-08,0.01000002,0.49000002,0.08000003,0.41000006,0.50000006,0.0101010186715628,0.484848421487613,0,1.01010085705543e-08,0.0101010186715628,0,1.01010085705543e-08,1.01010085705543e-08,0,1.01010085705543e-08,0.38383833578207,0,1.01010085705543e-08,0.0303030358126713,0,1.01010085705543e-08,1.01010085705543e-08,0,0.0707070700948884,0.0101010186715628,1.01010085705543e-08,0,0,0.776859506932586,2.18518514128944,1.28947366897507,0.142857265306105,0.785714275510207,0.243902482450917,0.0808080988674598,0.0816326745106181,0.888888530864476,0.0824742517802086,0.0178571935586653,1.05115222567961,-1.05115239336544,0.845097295510282,1.05115232460217,1.01010091766148,0.282931752356193,-0.611014643423159,-1.93449759275534,0.125000187499906,0.989010924526032,0.999999973684212,0.979591817159518,0.988505724666404,0.874999796875076,0,0.494505462263016,0.494505462263016,0.2699999938,0.129032281997917,-2.6194202097742,19.3855442956878,20.3144301198877,20.2466526714924,23.3322035405084,-4.11005929614488,2.09740431760163,-10.7669140668321,18.1666597925979,8.64070734080192,6.84636343580352,20.8393935758495,20.6877780158922,32.0370030316982,29.5546176954825,45.3818173613408,21.6838389277012,-3.80666764898975,29.3714280081634,20.8354953478952,24.5707785044325,0.806414279084268
"XRD30",30,918,0.56000001,0.03000001,0.05000001,0.03000001,0.29000001,0.04000001,0.01000001,0.48000001,1e-08,1e-08,1e-08,1e-08,1e-08,0.40000001,0.01000001,0.02000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,1.00000015,0,0,0,0,2.00000021,0.01000001,0.01000001,0.06000001,2e-08,0.03000002,0.40000002,2e-08,2e-08,0.49000002,0.08000003,0.43000006,0.49000006,0.0100000084999987,0.479999938000009,0,9.99999850000022e-09,9.99999850000022e-09,0,9.99999850000022e-09,9.99999850000022e-09,0,9.99999850000022e-09,0.399999950000008,0,0.0100000084999987,0.020000006999999,0,9.99999850000022e-09,9.99999850000022e-09,0,0.0600000009999999,0.0100000084999987,0.0100000084999987,0,0,0.766129035509885,1.93103445065398,1.22499998875,0.166666805555532,0.79999998666667,0.250000039772723,0.0800000179999973,0.0800000211999977,0.799999740000182,0.0816326778425638,0.0175439095106108,1.06069754295642,-1.11394319958794,0.477120965190201,1.18563630631472,0.999999910000014,0.283301207893607,-0.735953307649088,-1.9444818134324,0.250000124999938,0.978260807183373,0.999999975000001,0.979591817159518,0.988764022976898,0.857142632653157,0,0.489130403591686,0.489130403591686,0.2899999926,0.121212144168961,-2.724154411363,16.5899918230057,16.7579895974073,16.7719898366071,18.6939864332095,-4.16335024924322,2.10761237410037,-10.8118642854486,16.4599950080035,8.79900024364996,6.65459983021003,20.6649996662501,20.68960023546,28.5869087068717,26.5916580000061,45.6109991533501,21.6760005395999,-2.06930123310481,30.1599992640002,20.1698896395289,25.1603707398573,0.718367062157618
"XRD35",35,1158,0.49000001,0.03000001,0.05000001,0.04000001,0.34000001,0.05000001,0.03000001,0.43000001,1e-08,0.01000001,1e-08,1e-08,0.04000001,0.36000001,0.02000001,0.03000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,1.01000015,0,0,0,0,2.01000021,0.01000001,0.01000001,0.07000001,2e-08,0.05000002,0.40000002,2e-08,0.01000002,0.46000002,0.09000003,0.45000006,0.47000006,0.0297029757866868,0.425742520929329,0,9.90098862856605e-09,0.00990099852955467,0,9.90098862856605e-09,9.90098862856605e-09,0,0.0396039644152528,0.356435600529366,0,0.0198019871581207,0.0297029757866868,0,9.90098862856605e-09,9.90098862856605e-09,0,0.0693069303009509,0.00990099852955467,0.00990099852955467,0,0,0.732283469340938,1.44117645761246,1.1499999925,0.142857265306105,0.823529394463672,0.235294153402534,0.0891089273600603,0.0900000200999978,0.499999972222233,0.0989011242603531,0.0517241816290063,0.893946418125811,-0.778151193511756,0.56427121987163,1.03140826730418,0.990098922262536,0.236912478150166,-0.443697380525578,-1.05252893818686,0.214285795918344,0.902173860586018,0.899999980000001,0.934782589792061,0.918604631692808,0.499999964285722,0,0.451086930293009,0.451086930293009,0.339999989600001,0.128205147271531,-1.46867556767341,7.15499912638923,4.75499888861154,5.04499891416709,3.03999855055612,-3.36329206789201,0.825891771289089,-10.1809503368271,10.6999994666669,7.81950533720218,6.07792070961574,19.6227721015685,20.3341587017586,18.0556566219505,16.5916657407411,42.8930688723165,20.7871293791392,-3.66208019226532,31.4588225743947,14.2890802912614,19.5678309076844,0.40109884796188
"XRD40",40,1393,0.44000001,0.04000001,0.05000001,0.04000001,0.37000001,0.05000001,0.03000001,0.44000001,0.01000001,0.01000001,1e-08,0.01000001,0.06000001,0.31000001,0.02000001,0.04000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000006,1.00000015,0,0,0,0,1.99000021,1e-08,0.01000001,0.06000001,2e-08,0.06000002,0.37000002,0.01000002,0.02000002,0.47000002,0.07000003,0.43000006,0.50000006,0.0300000054999992,0.439999944000008,0,0.0100000084999987,0.0100000084999987,0,9.99999850000022e-09,0.0100000084999987,0,0.0600000009999999,0.309999963500005,0,0.020000006999999,0.0400000039999994,0,9.99999850000022e-09,9.99999850000022e-09,0,0.0600000009999999,0.0100000084999987,9.99999850000022e-09,0,0,0.708661423212846,1.18918918407597,1.27027025566107,0.166666805555532,0.77777777160494,0.236363669421485,0.0700000194999971,0.0721649711977868,0.388888904320982,0.0813953770957251,0.0666667066666607,0.788370259738777,-0.732393710495701,0.602059774180812,0.869231569488595,0.989999911500013,0.189537968293122,-0.402056475365456,-0.920818669023687,0.200000079999979,0.870967694068685,0.837837819576334,0.936170194205524,0.892857124149661,0.399999986666669,0,0.435483847034342,0.435483847034342,0.373737361187635,0.119047637188208,-1.42294526558748,3.66055604089487,0.309445061882471,0.701667269907171,-2.75777697253118,-3.50700726558976,-0.483065936061036,-10.5481769444615,8.56666696296285,6.73900055264992,5.52839999914,19.3419998647,20.71760023126,14.4002568380987,12.8879634773661,42.3149996477501,20.5460007090999,1.77969818954527,28.9333329925927,13.5460639590575,16.8319380487073,0.307493527225256
"XRD45",45,1640,0.36000001,0.04000001,0.05000001,0.05000001,0.43000001,0.06000001,0.04000001,0.39000001,1e-08,0.01000001,1e-08,0.01000001,0.05000001,0.33000001,0.03000001,0.05000001,1e-08,0.01000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000006,1.00000015,0,0,0,0,1.99000021,1e-08,0.02000001,0.06000001,0.01000002,0.08000002,0.38000002,0.01000002,0.01000002,0.43000002,0.08000003,0.47000006,0.45000006,0.0400000039999994,0.389999951500007,0,9.99999850000022e-09,0.0100000084999987,0,9.99999850000022e-09,0.0100000084999987,0,0.0500000024999996,0.329999960500006,0,0.0300000054999992,0.0500000024999996,0,9.99999850000022e-09,0.0100000084999987,0,0.0600000009999999,0.020000006999999,9.99999850000022e-09,0,0,0.669230776804733,0.837209306111411,1.13157894044321,0.333333444444426,0.799999990000002,0.222222252204583,0.0800000179999973,0.0816326745106182,0.400000009999997,0.0930232831260118,0.0727273153718938,0.643452575808849,-0.72699867907814,0.342422586067074,0.745966465199634,0.989999911500013,0.221848731520754,-0.359021845700952,-0.903089902545805,0.312500046874988,0.869565169187152,0.868421033240998,0.906976725256896,0.8888888696845,0.399999986666669,0,0.434782584593576,0.434782584593576,0.434343418120601,0.122448995002082,-0.307763195007009,4.01000031449989,0.754000400099859,1.13600039089986,-2.17799947820018,-2.75723470995589,0.409680451918446,-9.93564985443867,8.78000019199993,7.28400047089993,5.716099970985,19.24099987985,20.14840031664,15.635370125631,13.2583336666666,42.15099967235,21.4420005746999,1.03259830161026,30.1599994480001,11.71444501374,17.0916441189345,0.306976726873985
"XRD50",50,1883,0.25000001,0.05000001,0.07000001,0.05000001,0.52000001,0.06000001,0.04000001,0.37000001,0.01000001,0.01000001,1e-08,0.01000001,0.07000001,0.29000001,0.03000001,0.05000001,1e-08,0.01000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000006,0.99000015,0,0,0,0,1.99000021,0.02000001,0.02000001,0.06000001,0.01000002,0.08000002,0.36000002,0.01000002,0.02000002,0.41000002,0.10000003,0.45000006,0.44000006,0.0404040443832256,0.373737327211516,0,0.0101010186715628,0.0101010186715628,0,1.01010085705543e-08,0.0101010186715628,0,0.0707070700948884,0.292929258647082,0,0.0303030358126713,0.0505050529537799,0,1.01010085705543e-08,0.0101010186715628,0,0.0606060615243341,0.0202020272421171,0.0202020272421171,0,0,0.614814824526748,0.480769240754438,1.13888888117284,0.333333444444426,0.782608689981097,0.226666691555554,0.101010116008568,0.104166685980901,0.416666670138888,0.121951245687089,0.0862069348989239,0.623249191130609,-0.650364634263127,0.41497324106759,0.698969905068726,1.01010091766148,0.181843573087331,-0.301029914233779,-0.778151184581456,0.277777827160483,0.831460629465983,0.805555538580248,0.902439004759073,0.857142838589982,0.352941173010381,0,0.415730314732991,0.415730314732991,0.519999978800001,0.103448289536266,0.505344351697367,4.53416677586802,1.4208334722569,1.78750013572913,-1.30833315215283,-2.13994534164618,-0.695662075597045,-9.24569152599021,9.10000006666665,7.40232369005197,5.33828285621977,18.953535275727,20.533838645277,16.3852507400238,13.8138890046296,41.3484846391185,21.2050511214569,2.05747287664552,29.1999996869566,11.7480902329241,14.0932220820404,0.294715424451799
"XRD60",60,2227,0.27000001,0.07000001,0.09000001,0.05000001,0.49000001,0.05000001,0.07000001,0.31000001,0.02000001,0.01000001,1e-08,1e-08,0.07000001,0.28000001,0.07000001,0.05000001,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02000006,0.99000015,0,0,0,0,2.01000021,0.01000001,0.03000001,0.07000001,2e-08,0.12000002,0.35000002,2e-08,0.03000002,0.38000002,0.11000003,0.47000006,0.41000006,0.0707070700948884,0.31313127578819,0,0.0202020272421171,0.0101010186715628,0,1.01010085705543e-08,1.01010085705543e-08,0,0.0707070700948884,0.282828250076528,0,0.0707070700948884,0.0505050529537799,0,1.01010085705543e-08,1.01010085705543e-08,0,0.0707070700948884,0.0303030358126713,0.0101010186715628,0,0,0.620155048674959,0.551020417326114,1.08571428081633,0.42857151020407,0.73076923372781,0.280000021333332,0.111111124579123,0.114583351453991,0.343750018554683,0.146666692977775,0.155172441438759,0.447157975504365,-0.497324624827418,0.146128010861415,0.640977973601552,1.03030293480259,0.182340192147797,-0.190814454975331,-0.624723928643688,0.416666680555553,0.738636331095046,0.799999982857144,0.815789457063713,0.808219161193471,0.333333333333333,0,0.369318165547523,0.369318165547523,0.480392138408306,0.0925926076817553,1.82669817396397,2.24093808354479,-1.49656175762712,-1.06281177469742,-5.11312403181662,-1.28247758095145,-0.681940490956378,-8.56458688903061,7.70000035624992,7.48919236375873,5.5191919197184,17.8383839295378,20.3798992746617,14.5837649020342,11.3833339518228,39.5161616844199,21.5747480351392,-1.3581831714874,26.3384617017751,11.8666665302022,13.0641326792127,0.197083325576908
