"","","","\textbf{BRT}","","","\textbf{RF}","",""
"1","Climate parameters$^{(a)}$","Database","$\mathrm{R^2}$","RMSE","Moran's I$^{(b)}$","$\mathrm{R^2}$","RMSE","Moran's I$^{(b)}$"
"2","AI","ACADB","0.69","1300","0.28*","0.48","1290","0.39*"
"3","","k-cold/wet","0.59","1470","0.36*","0.36","1440","0.4*"
"4","","k-warm/arid","0.64","1220","0.22*","0.42","1220","0.39*"
"5","MAAT","ACADB","0.78","4.3","0.23*","0.55","4.63","0.51*"
"6","","k-cold/wet","0.65","4.5","0.32*","0.4","4.48","0.53*"
"7","","k-warm/arid","0.79","4.29","0.17*","0.53","4.72","0.44*"
"8","MAF","ACADB","0.77","2.58","0.24*","0.58","2.64","0.38*"
"9","","k-cold/wet","0.71","2.48","0.18*","0.49","2.42","0.37*"
"10","","k-warm/arid","0.78","2.76","0.18*","0.59","2.76","0.35*"
"11","MPCOQ","ACADB","0.65","49.1","0.3*","0.37","51.2","0.58*"
"12","","k-cold/wet","0.43","50.1","0.42*","0.19","48.9","0.54*"
"13","","k-warm/arid","0.71","48.2","0.25*","0.38","53.8","0.59*"
